Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Bonatri,кофейня,Кафе; Кофейни; Кондитерские изделия,"улица Гейдара Алиева, 10/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.3,48,87028883823,87019997317,,,,,,https://instagram.com/bonatri_astana,,,https://wa.me/77019997317,,,,,,51.094217,71.412474,https://2gis.com/firm/70000001032307578,branch
Panda Lamian,китайский ресторан,Кафе; Доставка готовых блюд,"улица Алексея Петрова, 15",цокольный этаж,,2 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.6,1643,87088888048,,,,,,,https://instagram.com/pandalamian_kz,,,https://wa.me/77088888048,,,,,,51.149296,71.469732,https://2gis.com/firm/70000001077065918,branch
ШАВЕРМА,ресторан быстрого питания,Кафе; Быстрое питание,"улица Сыганак, 54",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,521,87008099999,,,,,,,https://instagram.com/shaverma.kz,,,https://wa.me/77076688061,,,,,,51.123133,71.421514,https://2gis.com/firm/70000001063705254,branch
Vo Dvore,кафе,Кафе; Бары,"улица Куйши Дина, 11/1",,,3 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00 (служба доставки: пн-вс 12:00-22:00),+05:00,4.5,1065,87010125556,87021625170,,icabekova@mail.ru,kafe.vodvore@mail.ru,,,https://instagram.com/vo_dvore_astana,,,https://wa.me/77010125556,,,,,,51.146695,71.468106,https://2gis.com/firm/70000001042877028,branch
Аltyn Qazan,кафе,Кафе; Бары; Банкетные залы,"проспект Кабанбай батыр, 42",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.7,153,87761323284,87066068686,,,,,,https://instagram.com/altyn_qaazan,,,https://wa.me/77761323284,https://wa.me/77066068686,,,https://t.me/+77066068686,,51.119582,71.413731,https://2gis.com/firm/70000001054637245,branch
Roso,кафе,Кафе,"улица Шамши Калдаяков, 11",,,,Алматы район,Астана,,Астана,Казахстан,Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00,+05:00,4.6,55,87016725983,,,,,,,https://instagram.com/roso_cafe_astana,,,https://wa.me/77016725983,,,,,,51.118682,71.461173,https://2gis.com/firm/70000001027011467,branch
Panda Lamian,китайский ресторан,Кафе; Доставка готовых блюд,"проспект Туран, 21а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.6,178,87007382020,,,,,,,https://instagram.com/pandalamian_kz,,,https://wa.me/77007382020,,,,,,51.142472,71.409886,https://2gis.com/firm/70000001083911865,branch
Beecafe,,Кафе,"проспект Бауыржан Момышулы, 12",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.1,402,87057040808,,,,,,,https://instagram.com/beecafe.kz,,https://vk.com/beecafe,https://wa.me/77072025707,https://wa.me/77057040808,,,,,51.139855,71.478804,https://2gis.com/firm/70000001018401486,branch
Узбекский двор 8,чайхана,Кафе; Доставка готовых блюд,"проспект Туран, 19/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+05:00,4.0,1006,87024413488 (администратор),,,,,http://taplink.cc/uzbekskiy.dvor.astana,,https://instagram.com/uzbekskiy.dvor.astana,,,https://wa.me/77024413488,,,,,,51.144934,71.407409,https://2gis.com/firm/70000001037562962,branch
Green Kitchen,кафе правильного питания,Кафе; Доставка готовых блюд,"улица Сарайшык, 27/3",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.1,84,87070223388,,,,,,,https://instagram.com/green_kitchen.cafe,,,https://wa.me/77070223388,,,,,,51.132556,71.426794,https://2gis.com/firm/70000001031913945,branch
Есил,кафе,Кафе,"улица Сагадат Нурмагамбетов, 31а",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+05:00,4.5,11,87015975399,,,,,,,https://instagram.com/ersinnin_lagmany,,,https://wa.me/77015975399,,,,,,51.124729,71.485884,https://2gis.com/firm/70000001080959602,branch
SF,,Кафе; Рестораны; Быстрое питание; Пиццерии; Доставка готовых блюд,"проспект Шакарим Кудайбердыулы, 19Б",,,Аль-Фараби м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,2947,87777888888 (служба доставки: круглосуточно ),,,,,http://shaurma-food.kz,,https://instagram.com/sf.qaz,,,https://wa.me/77777888888,,,,,https://youtube.com/@sf-2077,51.157364,71.498871,https://2gis.com/firm/70000001063303340,branch
Гол+Пас,спорт-бар,Кафе; Бары,"проспект Кабанбай батыр, 7",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.1,171,87172259880,87073040232,,golpas@golpas.com,,http://golpas.cafe,,https://instagram.com/golpas_sportbars,,,https://wa.me/77073040232,,,,,,51.14246,71.417348,https://2gis.com/firm/70000001021562922,branch
Sun cafe,семейное кафе ,Кафе,"Аль-Фараби проспект, 30",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.2,42,87088002727,,,,,,,https://instagram.com/sun_cafe01,,,https://wa.me/77088002727,,,,,,51.090681,71.449586,https://2gis.com/firm/70000001083950614,branch
The Veil cafe,,Кафе; Кондитерские изделия; Пекарни,"улица Кадыргали Жалайыри, 4",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 07:30-24:00; Вт: 07:30-24:00; Ср: 07:30-24:00; Чт: 07:30-24:00; Пт: 07:30-24:00; Сб: 07:30-24:00; Вс: 07:30-24:00,+05:00,4.5,144,87010808900,,,,,http://theveil.kz/,,https://instagram.com/the_veil_kz,,,https://wa.me/77010808900,,,,,,51.140561,71.445961,https://2gis.com/firm/70000001045287770,branch
CrepeCafe,,Кафе; Рестораны; Доставка готовых блюд,"проспект Туран, 5/5",1 этаж,,Караоткель-2 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00 (служба доставки: пн-вс 10:00-23:00),+05:00,4.7,274,87719494949,,,info@crepecafe.kz,,http://crepecafe.kz,,https://instagram.com/crepecafe_kz,https://facebook.com/crepecafekz,,https://wa.me/77719494949,,,,,,51.151935,71.410923,https://2gis.com/firm/70000001080816752,branch
Жарим Парим,гриль-бар,Кафе; Бары; Доставка готовых блюд,"улица Сарайшык, 5/4",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.5,273,87751247399,,,,,,,https://instagram.com/grill.bar_zharimparim,,,https://wa.me/77751247399,,,,https://t.me/+77710303033,,51.136283,71.426718,https://2gis.com/firm/70000001045392458,branch
Brooklyn,,Кафе; Бары,"улица Сарайшык, 5",2 этаж; ВП: 12,,,Есиль район,Астана,,Астана,Казахстан,Пн: 15:00-04:00; Вт: 15:00-04:00; Ср: 15:00-04:00; Чт: 15:00-04:00; Пт: 15:00-04:00; Сб: 15:00-04:00; Вс: 15:00-04:00,+05:00,4.1,145,87021343333,,,,,,,https://instagram.com/brooklyn.astana,,,https://wa.me/77021343333,,,,,,51.135793,71.422795,https://2gis.com/firm/70000001026179132,branch
Мята,лаундж-бар,Кафе; Бары; Доставка готовых блюд,"проспект Мангилик Ел, 52 блок B1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 16:00-03:00; Вт: 16:00-03:00; Ср: 16:00-03:00; Чт: 16:00-03:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-03:00,+05:00,4.2,323,87000710001,,,,,,,https://instagram.com/myata_mangilik_astana,,,https://wa.me/77000710001,,,viber://chat/?number=77000710001,https://t.me/+77000710001,,51.091852,71.426236,https://2gis.com/firm/70000001060010282,branch
Kitchen & Delivery Bar ,,Кафе; Бары; Доставка готовых блюд,"улица Сыганак, 11",,,,Нура район,Астана,,Астана,Казахстан,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-03:00; Сб: 14:00-03:00; Вс: 14:00-02:00,+05:00,4.9,30,87781118009,,,,,,,https://instagram.com/myata_kitchen_delivery,,,https://wa.me/77781118009,,,,,,51.131058,71.380331,https://2gis.com/firm/70000001083850219,branch
Newon Ktv,,Кафе; Караоке-залы,"улица Анет баба, 6",,,,Нура район,Астана,,Астана,Казахстан,Пн: 15:00-01:00; Вт: 15:00-01:00; Ср: 15:00-01:00; Чт: 15:00-01:00; Пт: 15:00-01:00; Сб: 15:00-01:00; Вс: 15:00-01:00,+05:00,4.8,31,87070609050,,,,,,,https://instagram.com/newon__ktv,,,https://wa.me/77070609050,,,,,,51.134579,71.38466,https://2gis.com/firm/70000001084557649,branch
Вокруг света,семейное кафе,Кафе; Банкетные залы,"улица Сыганак, 60/5",2 этаж; около центра KIDBURG,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-20:00,+05:00,4.1,122,87710199979,,,,,,,https://instagram.com/vokrugsveta.cafe,https://facebook.com/vokrugsvetarestaurant,,https://wa.me/77710199979,,,,,,51.122574,71.429008,https://2gis.com/firm/70000001042920702,branch
Expresso classic,,Кафе; Кофейни,"проспект Туран, 37",2 этаж; справа от кинотеатра Chaplin Cinemas,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,202,87756969534,,,,,http://expresso-luxury.kamiqr.com/menu/basic/list,,https://instagram.com/expresso.luxury.ast,,,,,,,,,51.132747,71.402966,https://2gis.com/firm/70000001034935544,branch
Vo Dvore,кафе,Кафе; Доставка готовых блюд; Бары; Караоке-залы,"улица Кенесары, 44",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.5,787,87014455556,,,icabekova@mail.ru,kafe.vodvore@mail.ru,,,https://instagram.com/vo_dvore_astana,,,https://wa.me/77014455556,,,,,,51.166296,71.436287,https://2gis.com/firm/70000001074434109,branch
Fiftyfifty lucky bar,,Кафе; Бары,"проспект Кабанбай батыр, 11/4",,,,Нура район,Астана,,Астана,Казахстан,Вт: 19:00-02:00; Ср: 19:00-02:00; Чт: 19:00-02:00; Пт: 19:00-03:00; Сб: 19:00-03:00; Вс: 19:00-02:00,+05:00,4.3,172,87757987309,,,,,,,https://instagram.com/fiftyfifty_luckybar,,,https://wa.me/77757987309,,,,,,51.140599,71.412839,https://2gis.com/firm/70000001059488778,branch
Sushiman,суши-бар,Кафе; Суши-бары; Доставка готовых блюд,"проспект Кабанбай батыр, 58Б к1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.4,2139,87077788300,,,,,http://sushiman.kz,,https://instagram.com/sushiman_kz,,,https://wa.me/77077788200,,,,https://t.me/sushimanka,,51.09533,71.407563,https://2gis.com/firm/70000001024110168,branch
Жигуль Бар,гриль-бар,Кафе; Бары,"проспект Кабанбай батыр, 2/2",1 этаж,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-02:00; Вт: 17:00-02:00; Ср: 17:00-02:00; Чт: 17:00-02:00; Пт: 17:00-02:00; Сб: 15:00-02:00; Вс: 15:00-02:00,+05:00,4.5,235,87759401233,,,,,,,https://instagram.com/jigulbar,,,https://wa.me/77759401233,,,,,,51.150498,71.42773,https://2gis.com/firm/70000001063751288,branch
TokpokkiGo,кафе южнокорейской кухни,Кафе; Суши-бары; Доставка готовых блюд,"улица Александра Пушкина, 9",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.4,246,87052876266,,,,,,,https://instagram.com/tokpokki_go,,,https://wa.me/77052876266,,,,,,51.157207,71.458012,https://2gis.com/firm/70000001063855595,branch
Ас-Салам,кафе,Кафе,"улица Елубай Тайбеков, 94",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,29,87753232034,,,,,,,https://instagram.com/assalam.kafe,,,https://wa.me/77753232034,,,,,,51.136581,71.420142,https://2gis.com/firm/70000001081181733,branch
Okadzaki.kz,кафе,Кафе; Доставка готовых блюд; Суши-бары; Пиццерии; Быстрое питание,"улица Кайрат Рыскулбеков, 29",1 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.3,1362,87715250527,,,okadzaki.kz@mail.ru,,http://okadzaki.kz,,https://instagram.com/okadzaki.kz,,,https://wa.me/77715250527,,,,https://t.me/+77773333333,,51.159451,71.501325,https://2gis.com/firm/70000001055071765,branch
Креветка,пивной бар,Кафе; Бары; Доставка готовых блюд,"улица Кенесары, 37",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 17:00-02:00; Вт: 17:00-02:00; Ср: 17:00-02:00; Чт: 17:00-02:00; Пт: 15:00-02:00; Сб: 15:00-02:00; Вс: 15:00-02:00,+05:00,4.0,115,87000661515,,,,,,,https://instagram.com/bar_krevetka_astana,,,https://wa.me/77000661515,,,,,,51.165744,71.422775,https://2gis.com/firm/70000001068915632,branch
Мелодии и Ритмы,бар,Кафе; Бары,"улица Желтоксан, 2т",,,,Сарыарка район,Астана,,Астана,Казахстан,Пт: 20:00-05:00; Сб: 20:00-05:00,+05:00,4.2,146,,,,,,http://melodybar.kz,,https://instagram.com/bar.melodyritmy,,,https://wa.me/77713534848,,,,,,51.1627,71.420267,https://2gis.com/firm/70000001066423237,branch
Bon Bon,,Кафе; Кофейни; Кондитерские изделия; Доставка готовых блюд; Продажа кофе,"улица Динмухамед Конаев, 14/1",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-01:00; Сб: 09:00-01:00; Вс: 09:00-24:00 (служба доставки: пн-вс 8:00-18:00),+05:00,4.0,247,87172508501,87787883442,87781765515 (зам. директора),,,,,https://instagram.com/bon.bon_astana,,,https://wa.me/77787883442,https://wa.me/77781765515,,,,,51.129667,71.434118,https://2gis.com/firm/70000001018064333,branch
Шашлычок,кафе,Кафе; Быстрое питание; Доставка готовых блюд,"улица Шокан Уалиханов, 12/2",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.7,294,87009005900 (служба доставки),,,kaminurka@mail.ru,,http://shashlychok.kz,,https://instagram.com/shashlychok01,,,https://wa.me/77477829898,,,,,,51.169735,71.441344,https://2gis.com/firm/70000001077260149,branch
Точка,,Кафе; Доставка готовых блюд,"улица Бейбитшилик, 5",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-22:00,+05:00,4.1,260,87172346138,87758528302,,,,,,https://instagram.com/cafe.tochka,https://facebook.com/tochkakoffee,,https://wa.me/77758528302,,,,,,51.164141,71.420603,https://2gis.com/firm/70000001029842319,branch
Целиноград,,Кафе; Бары,"улица Кенесары, 52",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.2,116,87773090593,,,,,,,https://instagram.com/rodnoitselinograd_,,,https://wa.me/77773090593,,,,,,51.166737,71.441349,https://2gis.com/firm/70000001018129548,branch
Еда Города,сеть кафе домашней кухни,Кафе; Доставка готовых блюд,"улица Ахмет Байтурсынулы, 5",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.0,298,87051002133,,,director@edagoroda.kz,,http://edagoroda.kz,,https://instagram.com/edagoroda_kz,,,https://wa.me/77051002133,,,,,,51.126659,71.462736,https://2gis.com/firm/70000001060753812,branch
Harat`s Irish Pub,,Кафе; Бары,"улица Желтоксан, 2т",ВП: 32,,,Сарыарка район,Астана,,Астана,Казахстан,Вт: 16:00-02:00; Ср: 16:00-02:00; Чт: 16:00-02:00; Пт: 16:00-05:00; Сб: 16:00-05:00; Вс: 16:00-02:00,+05:00,4.0,284,87754146880,,,,,http://Astana.harats.com,,https://instagram.com/harats_astana,https://facebook.com/haratsastana,,https://wa.me/77754146880,,,,,,51.162579,71.419259,https://2gis.com/firm/70000001027889472,branch
Old Tavern,бар,Кафе; Бары,"улица Александра Пушкина, 2",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 14:00-03:00; Вт: 14:00-03:00; Ср: 14:00-03:00; Чт: 14:00-03:00; Пт: 14:00-03:00; Сб: 14:00-03:00; Вс: 14:00-03:00,+05:00,4.7,112,87771547996,,,,,,,https://instagram.com/old_tavern_astana,,,https://wa.me/77771547996,,,,,,51.15665,71.458548,https://2gis.com/firm/70000001035509653,branch
Space Cafe,кафе быстрого питания,Кафе,"улица Аскар Токпанов, 22",НП: 21,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,39,87053032040,,,,,,,https://instagram.com/spacecafe_ast,,,https://wa.me/77053032040,,,,,,51.142602,71.455031,https://2gis.com/firm/70000001082947133,branch
Blck,лаундж-бар,Кафе; Бары,"улица Шамши Калдаяков, 1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 15:00-03:00; Вт: 15:00-03:00; Ср: 15:00-03:00; Чт: 15:00-03:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 15:00-03:00,+05:00,4.5,70,87716044483,87760003441,,,,,,https://instagram.com/blck.lounge,,,https://wa.me/77716044483,https://wa.me/77760003441,,,,,51.119956,71.454967,https://2gis.com/firm/70000001076596353,branch
Korean mix,кафе,Кафе; Доставка готовых блюд,"проспект Абылай хана, 24/3",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.7,155,87756009988,87172562240,,,,,,https://instagram.com/koreanmix_astana,,,https://wa.me/77757394949,https://wa.me/77756009988,,,,,51.155184,71.481935,https://2gis.com/firm/70000001018104372,branch
Panda Lamian,китайский ресторан,Кафе; Доставка готовых блюд,"проспект Сарыарка, 28",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.5,826,87018881011,,,,,,,https://instagram.com/pandalamian_kz,,,https://wa.me/77018881011,,,,,,51.168863,71.40835,https://2gis.com/firm/70000001079801942,branch
Пошашлычим,гриль-бар,Кафе; Караоке-залы,"улица Александра Пушкина, 27/2",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.4,534,87711008027,87027473777 (администрация),,,,,,https://instagram.com/poshashlychim_grillbar,,,https://wa.me/77711008027,,,,,,51.167414,71.473436,https://2gis.com/firm/70000001047668508,branch
SF,,Кафе; Быстрое питание; Суши-бары; Доставка готовых блюд; Пиццерии,"проспект Женис, 17",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00 (служба доставки: пн-вс круглосуточно ),+05:00,4.1,984,87777888888 (служба доставки: круглосуточно ),,,,,http://shaurma-food.kz,,https://instagram.com/sf.qaz,,,https://wa.me/77777888888,,,,,https://youtube.com/@sf-2077,51.168162,71.412849,https://2gis.com/firm/70000001066810626,branch
Панаехали,бар,Кафе; Бары,"улица Кенесары, 4",2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 13:00-04:00; Вт: 13:00-04:00; Ср: 13:00-04:00; Чт: 13:00-04:00; Пт: 14:00-05:00; Сб: 14:00-05:00; Вс: 14:00-05:00,+05:00,4.2,621,87010988848,,,,,,,https://instagram.com/panaehali_kenesary,,,https://wa.me/77010988848,,,,,,51.161818,71.401917,https://2gis.com/firm/70000001035411275,branch
​Shashlyk Pub,,Кафе,"улица Касым Аманжолов, 24",НП: 12,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+05:00,4.6,400,87757214921,,,,,http://kuula.co/share/collection/7F2sy?logo=-1&card=1&info=0&fs=1&vr=1&zoom=1&gyro=0&initload=0&thumbs=0&inst=ru,,https://instagram.com/shashlyk_pub,,,https://wa.me/77757214921,,,,,,51.117823,71.473375,https://2gis.com/firm/70000001064334535,branch
Aray terrace,,Кафе,"улица Сарайшык, 13/4",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-03:00; Сб: 14:00-03:00; Вс: 14:00-02:00,+05:00,4.8,91,87021247676,,,,,,,https://instagram.com/aray.terrace,,,https://wa.me/77021247676,,,,,,51.134228,71.435682,https://2gis.com/firm/70000001062569149,branch
Черный кот,пивной бар,Кафе; Бары,"проспект Кабанбай батыр, 42",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 16:00-03:00; Вт: 16:00-03:00; Ср: 16:00-03:00; Чт: 16:00-03:00; Пт: 16:00-03:00; Сб: 15:00-03:00; Вс: 15:00-03:00,+05:00,4.6,31,87014048060,87082331890,,,,,,https://instagram.com/blackcat_bar01,,,https://wa.me/77712972955,https://wa.me/77014048060,https://wa.me/77082331890,,https://t.me/+77712972955,,51.120213,71.413969,https://2gis.com/firm/70000001036079289,branch
Кульджа,кафе,Кафе; Доставка готовых блюд,"улица Шолпан Иманбаевой, 8",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 13:00-23:00,+05:00,4.1,142,87172946266,87771799993,,,,,,https://instagram.com/kuldja.ast,,,https://wa.me/77771799993,,,,,,51.162716,71.435447,https://2gis.com/firm/70000001018102024,branch
Zold,лаундж-бар,Кафе; Бары,"улица Шолпан Иманбаевой, 7Б",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 13:00-01:00; Вт: 13:00-01:00; Ср: 13:00-01:00; Чт: 13:00-01:00; Пт: 13:00-02:00; Сб: 13:00-02:00; Вс: 13:00-01:00,+05:00,4.0,303,87001113353,,,,,,,https://instagram.com/zold_lounge_bar,,,https://wa.me/77001113353,,,,,,51.162322,71.435024,https://2gis.com/firm/70000001035458748,branch
Шанхай,,Кафе; Доставка готовых блюд,"проспект Абая, 67",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.4,135,87172346591,87711278888,,,,,,https://instagram.com/astanapetrovich,,,https://wa.me/77711278888,,,,,,51.17057,71.4437,https://2gis.com/firm/70000001018126991,branch
