Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Mona,ресторан,Рестораны,"улица Кайым Мухамедханов, 1/1",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-24:00,+05:00,4.5,73,87760990009,,,,,,,,,https://instagram.com/mona.restaurants,,,,https://wa.me/77760990009,,,,,,,51.137327,71.412648,https://2gis.com/firm/70000001077238649,branch
Line Brew Reserve,,Рестораны; Бары,"улица Кадыргали Жалайыри, 4",2 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.6,935,87010688800,,,,,,http://www.theveil.kz,,,https://instagram.com/linebrewreserve,,,,https://wa.me/77010688800,,,,,,,51.140561,71.445961,https://2gis.com/firm/70000001039971956,branch
Узбечка №1,ресторан восточной и европейской кухни,Рестораны; Доставка готовых блюд,"улица Алихан Бокейхан, 10",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00 (служба доставки: пн-вс 09:30-23:00),+05:00,4.4,1294,87752996688,87011866868 (отдел бронирования столов),,,,,http://www.uzbechka1.kz,,,https://instagram.com/uzbechka__1,,,,https://wa.me/77761091888,https://wa.me/77788991888,,,,,,51.114143,71.439009,https://2gis.com/firm/70000001018123817,branch
Arnau,ресторан,Рестораны,"проспект Туран, 30",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.6,217,87172279111,87011000704,,,,,http://satgroup.kz,http://arnau-restaurant.kz,,https://instagram.com/arnau_rest,,https://facebook.com/profile.php?id=61556904403552,,https://wa.me/77011000704,,,,,,,51.128573,71.405982,https://2gis.com/firm/70000001018336720,branch
Wine Time,ресторан,Рестораны,"улица Сыганак, 58/1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+05:00,4.6,92,87055196600,,,,,,,,,https://instagram.com/winetime_ast,,,,https://wa.me/77055196600,,,,,,,51.12184,71.424669,https://2gis.com/firm/70000001060843793,branch
Oblako,лаундж-бар,Рестораны; Бары,"улица Динмухамед Конаев, 33",4 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-03:00,+05:00,4.4,624,87761113663,,,,,,,,,https://instagram.com/oblako.astana,,,,https://wa.me/77761113663,,,,,,,51.130771,71.433904,https://2gis.com/firm/70000001060878292,branch
Mary Express,,Рестораны,"проспект Туран, 37",3 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.8,106,87476983445,,,,,,,,,https://instagram.com/mary_kazakhstan__,,,,https://wa.me/77476983445,,,,,,,51.132159,71.403091,https://2gis.com/firm/70000001082675965,branch
Перчик,,Рестораны,"проспект Туран, 37",3 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.5,54,87716889991,,,,,,,,,https://instagram.com/perchik.restaurant,,,,https://wa.me/77716889991,,,,,,,51.132513,71.402753,https://2gis.com/firm/70000001082455260,branch
Asther ,ресторан авторской кухни ,Рестораны,"проспект Туран, 41/1",вход с торца,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.7,24,87007989988,,,,,,http://asther-restaurant.kamiqr.com/menu/at-place,,,https://instagram.com/asther.restaurant,,,,https://wa.me/77007989988,,,,,,,51.126633,71.401245,https://2gis.com/firm/70000001082377945,branch
Астана Нұры,ресторан,Рестораны; Банкетные залы; Доставка готовых блюд,"проспект Республики, 3/2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.3,459,87172439339,87010429339,,,,,,,,https://instagram.com/astananury,,,,https://wa.me/77010429339,,,,,,,51.157227,71.427093,https://2gis.com/firm/70000001018082724,branch
Line Brew,рестораны,Рестораны; Бары,"улица Кенесары, 20",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.2,377,87011551322 (служба бронирования),87172237444,,,,,,,,https://instagram.com/linebrew_restaurants,,,,https://wa.me/77011551322,,,,,,,51.163671,71.41597,https://2gis.com/firm/70000001018069671,branch
Felice,ресторан,Рестораны,"проспект Сарыарка, 1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.4,99,87077007000,,,,,,http://feliceastana.kz,,,https://instagram.com/felice_astana,,https://facebook.com/felice.rest,,https://wa.me/77077007000,,,,https://t.me/+77077007000,,,51.158587,71.409336,https://2gis.com/firm/70000001029447589,branch
Uno,ресторан,Рестораны; Бары; Доставка готовых блюд,"улица Кенесары, 13",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (служба доставки: пн-вс 10:00-22:45),+05:00,4.1,571,87028706761,,,,,,http://pizzauno.kz/,,,https://instagram.com/uno.rest,,https://facebook.com/web.facebook.com/unorestnursultan,,https://wa.me/77028706761,,,,,,,51.163563,71.410553,https://2gis.com/firm/70000001037011606,branch
Local Pub,,Рестораны; Бары,"улица Абикен Бектуров, 1а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 15:00-04:00; Вт: 15:00-04:00; Ср: 15:00-04:00; Чт: 15:00-04:00; Пт: 15:00-04:00; Сб: 15:00-04:00; Вс: 15:00-04:00,+05:00,4.5,70,87004008008,87172280730,,,,,http://local-pub.kz,,,https://instagram.com/local_pub,,,,https://wa.me/77004008008,,,,,,,51.129714,71.400542,https://2gis.com/firm/70000001033304037,branch
La Rivière,,Рестораны,"проспект Кабанбай батыр, 1",2 этаж,,,Нура район,Астана,,Астана,Казахстан,"Пн: 07:00-11:00, 12:00-23:00; Вт: 07:00-11:00, 12:00-23:00; Ср: 07:00-11:00, 12:00-23:00; Чт: 07:00-11:00, 12:00-23:00; Пт: 07:00-11:00, 12:00-23:00; Сб: 07:00-11:00, 12:00-23:00; Вс: 07:00-11:00, 12:00-23:00",+05:00,4.4,45,87781144111,,,,,,http://www.larivierekz.com,,,https://instagram.com/lariviereastana,,,,https://wa.me/77781144111,,,,,,,51.152747,71.424436,https://2gis.com/firm/70000001028790489,branch
Ocean Basket,ресторан морепродуктов,Рестораны; Доставка готовых блюд,"улица Сыганак, 17Б",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.5,175,87783181040,,,,,,http://www.oceanbasket.kz,,,https://instagram.com/oceanbasket.kz,https://twitter.com/theoceanbasket,https://facebook.com/oceanbasket.kazakhstan,,https://wa.me/77010999911,https://wa.me/77783181040,,,,,,51.130269,71.390216,https://2gis.com/firm/70000001077781110,branch
Урумчи хого,семейный ресторан,Рестораны,"улица Динмухамед Конаев, 29",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.0,533,87077777320,,,,,,,,,https://instagram.com/urumchi.hogo.astana,,,,https://wa.me/77077777320,,,,,,,51.131521,71.428367,https://2gis.com/firm/70000001061605659,branch
Hungry Rabbit,развлекательный комплекс,Рестораны; Боулинг,"улица Сакен Сейфуллин, 38",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.6,2417,87019713777 (служба бронирования),,,,,,http://hungryrabbit.taplink.ws/,,,https://instagram.com/hungryrabbit_and_jimmy,,,,https://wa.me/77019713777,,,,,,,51.171298,71.428808,https://2gis.com/firm/70000001018067856,branch
Mokki,ресторан,Рестораны,"улица Достык, 16",3 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,4.3,293,87172734000 (многоканальный),87710832579,,,,,http://mokkirestaurant.com,,,https://instagram.com/mokkirestaurant,,,,https://wa.me/77710832579,,,,,,,51.125259,71.431884,https://2gis.com/firm/70000001028064098,branch
Two Hands,,Рестораны,"проспект Туран, 22/1",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.8,58,87714142224,,,,,,,,,https://instagram.com/twohands_wine_gallery,,,,https://wa.me/77714142224,,,,,,,51.139773,71.410279,https://2gis.com/firm/70000001063805141,branch
CrepeCafe,,Рестораны; Кафе; Доставка готовых блюд,"проспект Туран, 5/5",1 этаж,,Караоткель-2 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00 (служба доставки: пн-вс 10:00-23:00),+05:00,4.7,274,87719494949,,,info@crepecafe.kz,,,http://crepecafe.kz,,,https://instagram.com/crepecafe_kz,,https://facebook.com/crepecafekz,,https://wa.me/77719494949,,,,,,,51.151935,71.410923,https://2gis.com/firm/70000001080816752,branch
Uchquduq,,Рестораны; Доставка готовых блюд,"улица Достык, 9",3 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.1,275,87712222198,,,,,,,,,https://instagram.com/uchquduq_restaurant,,,,,,,,,,,51.128271,71.424777,https://2gis.com/firm/70000001045189733,branch
Грузин Кузин,,Рестораны; Доставка готовых блюд,"проспект Мангилик Ел, 50",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+05:00,4.5,758,87752127755,,,,,,,,,https://instagram.com/gruzin_kz,,,,https://wa.me/77752127755,,,,,,,51.09413,71.427634,https://2gis.com/firm/70000001055890535,branch
Parmezan,,Рестораны; Доставка готовых блюд,"проспект Мангилик Ел, 37",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.2,205,87758383050,,,,,,,,,https://instagram.com/parmezan_cafe,,,,https://wa.me/77758383050,,,,https://t.me/parmezanrestoran,,,51.103496,71.428967,https://2gis.com/firm/70000001046079042,branch
Roastbeef,,Рестораны; Доставка готовых блюд,"проспект Кабанбай батыр, 15/1",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.3,232,87751029878,,,,,,http://business.google.com/u/1/site/l/15604993784173835524,,,https://instagram.com/roastbeef_astana,,,,https://wa.me/77751029878,,,,,,,51.135486,71.413064,https://2gis.com/firm/70000001028159403,branch
Ocean Basket,ресторан морепродуктов,Рестораны; Доставка готовых блюд,"улица Сарайшык, 7",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-23:00 (служба доставки: пн-вс 10:00-22:30; пт-сб 10:00-23:30),+05:00,4.5,1085,87778889221,87172285557,,,,,http://www.oceanbasket.kz,,,https://instagram.com/oceanbasket.kz,https://twitter.com/theoceanbasket,https://facebook.com/oceanbasket.kazakhstan,,https://wa.me/77010999911,,,,,,,51.13521,71.426245,https://2gis.com/firm/70000001024875195,branch
Өzen,лаундж-бар,Рестораны; Бары,"улица Достык, 16",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.7,164,87172734000,87717773685,,,,,http://www.ritzcarlton.com,,,https://instagram.com/ozenlobby,,,,https://wa.me/77717773685,,,,,,,51.124806,71.431229,https://2gis.com/firm/70000001028060868,branch
Emiliya,ресторан,Рестораны,"улица Сыганак, 60/1",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 06:30-11:00, 12:30-23:00; Вт: 06:30-11:00, 12:30-23:00; Ср: 06:30-11:00, 12:30-23:00; Чт: 06:30-11:00, 12:30-23:00; Пт: 06:30-11:00, 12:30-23:00; Сб: 06:30-11:00, 12:30-23:00; Вс: 06:30-11:00, 12:30-23:00",+05:00,4.7,130,87172700555,87773106112,,,,,http://www.marriott.com/TSESI,,,https://instagram.com/emiliya.restaurant,,https://facebook.com/emiliya.restaurant,,https://wa.me/77773106112,,,,,,,51.122862,71.427236,https://2gis.com/firm/70000001042730010,branch
La Maro,,Рестораны; Бары; Доставка готовых блюд,"улица Достык, 1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.4,233,87015409799,,,,,,http://lamaro.kamiqr.com/menu/basic,,,https://instagram.com/lamaro.astana,,,,https://wa.me/77015409799,,,,,,,51.129608,71.418597,https://2gis.com/firm/70000001075329477,branch
Black Duck,ресторан,Рестораны; Бары; Караоке-залы; Доставка готовых блюд,"проспект Туран, 37/9",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-02:00,+05:00,4.4,284,87783220852,,,,,,,,,https://instagram.com/blackduck_astana,,,,https://wa.me/77783220852,,,,,,,51.130756,71.401946,https://2gis.com/firm/70000001059834146,branch
Мясная лавка,ресторан,Рестораны,"проспект Абылай хана, 7",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.3,206,87759194473,,,,,,,,,https://instagram.com/myasnaya_lavka_astana,,,,https://wa.me/77759194473,,,,https://t.me/+77759194473,,,51.159794,71.47379,https://2gis.com/firm/70000001018129008,branch
BAO Sushi&Noodles Bar,ресторан,Рестораны; Доставка готовых блюд; Суши-бары,"улица Е-489, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.4,362,87755947483,,,,,,http://baofood.kz,,,https://instagram.com/bao_astana,,https://facebook.com/bao.noodles,,https://wa.me/77755947483,,,,,,,51.142946,71.378918,https://2gis.com/firm/70000001051611824,branch
Royal Vip,,Рестораны; Караоке-залы; Банкетные залы,"улица Е-247, 20",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+05:00,4.0,117,87011000029,87711000029,,,,,,,,https://instagram.com/royalvip_astana,,,,https://wa.me/77011000029,,,,,,,51.148076,71.377896,https://2gis.com/firm/70000001018072853,branch
Столичная трапеза Family chef,,Рестораны,"проспект Тауелсиздик, 34/2",НП: 18,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.5,75,87052788588,,,,,,http://www.familychef.kz,,,https://instagram.com/familychefastana,,,,https://wa.me/77052788588,,,,,,,51.138336,71.466281,https://2gis.com/firm/70000001081045487,branch
Пинта,рестораны,Рестораны; Бары; Доставка готовых блюд,"проспект Кабанбай батыр, 19/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-03:00,+05:00,4.1,747,87073075303,,,,,,http://pinta.kz,,,https://instagram.com/pinta_astana,,https://facebook.com/pintabar.grill,,https://wa.me/77073075303,,,,,,,51.13041,71.413574,https://2gis.com/firm/70000001038899008,branch
Cloud Bar Terrace,,Рестораны; Бары; Караоке-залы,"улица Айша биби, 38",6 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.2,262,87053657609 (администратор),,,,,,http://aisha-bibi.com,,,https://instagram.com/cloudbar.terrace,,,,https://wa.me/77053657609,,,,,,,51.141646,71.393248,https://2gis.com/firm/70000001041072366,branch
Slavik,ресто-бар,Рестораны; Бары; Караоке-залы,"улица Алимхан Ермеков, 1/1",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 15:00-24:00; Вт: 15:00-24:00; Ср: 15:00-24:00; Чт: 15:00-24:00; Пт: 15:00-02:00; Сб: 15:00-02:00; Вс: 15:00-24:00,+05:00,4.7,24,87713777788,,,,,,,,,https://instagram.com/pub_slavik,,,,https://wa.me/77713777788,,,,,,,51.136416,71.430992,https://2gis.com/firm/70000001080402976,branch
KorkemTau,комплекс,Рестораны; Банкетные залы; Караоке-залы,"улица Жаханша Сейдалин, 1/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (банкетный зал: пн-вс 12:00-1:00),+05:00,4.6,173,87085555025 (гостиница),87058885479 (банкетный зал  ),,,,,,,,https://instagram.com/korkemtau.kompleks,,,,https://wa.me/77085555025,,,,,,,51.174031,71.37067,https://2gis.com/firm/70000001043873085,branch
Шишка Premium,лаундж-бар,Рестораны; Бары; Караоке-залы,"улица Бухар жырау, 28",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 13:00-04:00; Вс: 13:00-02:00,+05:00,4.2,221,87779990220,,,,,,,,,https://instagram.com/shishka_botanic,,,,https://wa.me/77779990220,,,,,,,51.101088,71.416746,https://2gis.com/firm/70000001079642771,branch
Mister Joo,ресторан,Рестораны; Караоке-залы,"улица Сыганак, 38",,,,Нура район,Астана,,Астана,Казахстан,Пн: 18:00-05:00; Вт: 18:00-05:00; Ср: 18:00-05:00; Чт: 18:00-05:00; Пт: 18:00-05:00; Сб: 18:00-05:00; Вс: 18:00-05:00,+05:00,4.0,161,87006000086,,,,,,,,,https://instagram.com/mister_joo_restaurant,,,,https://wa.me/77006000086,,,,,,,51.126518,71.398493,https://2gis.com/firm/70000001056368986,branch
Qazaq Gourmet,ресторан высокой казахской кухни,Рестораны,"проспект Мангилик Ел, 29",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+05:00,4.3,208,87089888888,,,,,,http://qazaqgourmet.kz/,,,https://instagram.com/qazaq.gourmet,,,,https://wa.me/77089888888,,,,,,,51.108155,71.430094,https://2gis.com/firm/70000001025895405,branch
Sweet&Spicy,,Рестораны; Кейтеринг,"улица Маскеу, 37/2",2 этаж; вход через Lion комплекс,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.8,52,87474492542,87767990555,,,,,http://sweet-spicy-astana.business.site,,,https://instagram.com/sweet_and_spicy_astana,,,,https://wa.me/77474492542,https://wa.me/77767990555,,,https://t.me/+77474492542,,,51.18236,71.414376,https://2gis.com/firm/70000001067265999,branch
Стумари,грузинский ресторан,Рестораны,"улица Керей-Жанибек хандар, 18",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+05:00,4.3,148,87088383215,,,,,,http://stumari.kz,,,https://instagram.com/stumari_astana,,,,https://wa.me/77088383215,,,,,,,51.113854,71.425258,https://2gis.com/firm/70000001079642132,branch
Draft,гриль-бар,Рестораны; Бары,"улица Жумабека Ташенова, 27",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-02:00,+05:00,4.0,409,87055193030,,,,,,,,,https://instagram.com/draftbar,,,,https://wa.me/77055193030,,,,,,,51.154576,71.451193,https://2gis.com/firm/70000001018079016,branch
Пинта,рестораны,Рестораны; Бары; Доставка готовых блюд,"улица Достык, 18",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-03:00,+05:00,4.4,677,87784459895,,,,,,http://pinta.kz,,,https://instagram.com/pinta_astana,,https://facebook.com/pintabar.grill,,https://wa.me/77784459895,,,,,,,51.124987,71.433902,https://2gis.com/firm/70000001047862223,branch
Хороший День,,Рестораны,"улица Шамши Калдаяков, 6",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-22:00,+05:00,4.3,581,87003338886,,,,,,http://xoroshden.kz,,,https://instagram.com/xoroshden,,,,https://wa.me/77003338886,,,,,,,51.117883,71.460052,https://2gis.com/firm/70000001056928702,branch
Cantinetta Antinori,итальянский ресторан,Рестораны,"улица Кадыргали Жалайыри, 4",2 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.8,142,87010808508,,,,,,http://theveil.kz,,,https://instagram.com/cantinettaantinori_kz,,,,https://wa.me/77010808508,,,,,,,51.140561,71.445961,https://2gis.com/firm/70000001046911163,branch
Artsy,,Рестораны; Доставка готовых блюд,"улица Алихан Бокейхан, 1а",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-22:00,+05:00,4.0,161,87769992690,,,,,,,,,https://instagram.com/artsy.restaurant,,,,https://wa.me/77769992690,,,,,,,51.11411,71.442103,https://2gis.com/firm/70000001054564878,branch
SF,,Рестораны; Кафе; Доставка готовых блюд; Пиццерии,"улица Сарайшык, 13Б/1",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,910,87777888888 (служба доставки: круглосуточно ),,,,,,http://shaurma-food.kz,,,https://instagram.com/sf.qaz,,,,https://wa.me/77777888888,,,,,,https://youtube.com/@sf-2077,51.134274,71.436387,https://2gis.com/firm/70000001063303344,branch
De Paris,ресторан,Рестораны; Банкетные залы,"улица Кадыргали Жалайыри, 8",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.2,39,87172222700,87172333700,,,,,,,,https://instagram.com/theone_hotel_astana,,,,,,,,,,,51.13934,71.447105,https://2gis.com/firm/70000001028303762,branch
